refund_id,order_id,customer_id,refund_date,refund_amount,refund_reason,refund_method,refund_status,currency
REF00000041,ORD00003787,CUST004410,2026-08-06,1261.63,Damaged Item,Store Credit,Approved,USD
REF00000042,ORD00002937,CUST000610,2026-01-29,237.02,Duplicate Charge,Original Payment Method,Approved,USD
REF00000043,ORD00014571,CUST001065,2026-06-10,49.0,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000044,ORD00029732,CUST004017,2025-10-11,258.85,Damaged Item,Gift Card,Approved,USD
REF00000045,ORD00004448,CUST000549,2026-02-08,1245.87,Customer Changed Mind,Gift Card,Approved,USD
REF00000046,ORD00019810,CUST002663,2026-04-21,1740.08,Damaged Item,Store Credit,Approved,USD
REF00000047,ORD00025961,CUST002612,2025-06-14,54.07,Quality Issue,Original Payment Method,Approved,USD
REF00000048,ORD00002262,CUST001627,2024-02-08,331.33,Quality Issue,Gift Card,Approved,USD
REF00000049,ORD00023380,CUST002051,2024-04-08,415.12,Quality Issue,Bank Transfer,Approved,USD
REF00000050,ORD00004270,CUST001742,2023-05-21,472.09,Damaged Item,Original Payment Method,Pending,USD
REF00000051,ORD00016558,,2024-03-14,2147.49,Wrong Product,Store Credit,Approved,USD
REF00000052,ORD00016015,CUST001097,2023-10-16,2060.31,Product Not as Described,Original Payment Method,Approved,USD
REF00000053,ORD00022263,CUST003041,2024-05-20,2486.43,Duplicate Charge,Store Credit,Rejected,USD
REF00000054,ORD00029519,CUST004946,2025-03-28,636.82,Damaged Item,Gift Card,Approved,USD
REF00000055,ORD00016645,CUST000391,2026-04-09,236.62,Damaged Item,Original Payment Method,Approved,USD
REF00000056,ORD00001110,CUST001120,2024-04-27,604.22,Damaged Item,Gift Card,Approved,USD
REF00000057,ORD00028778,CUST004219,2024-05-21,89.04,Late Delivery,Store Credit,Approved,USD
REF00000058,ORD00018138,CUST003439,2025-10-27,1281.28,Product Not as Described,Store Credit,Approved,USD
REF00000059,ORD00014684,CUST003481,2023-09-05,187.65,Quality Issue,Original Payment Method,Approved,USD
REF00000060,ORD00026753,CUST000124,2023-11-27,1744.51,Missing Parts,Bank Transfer,Pending,USD
REF00000061,ORD00017390,CUST002473,2025-12-22,43.41,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000062,ORD00020911,CUST001478,2026-04-24,319.62,Quality Issue,Gift Card,Approved,USD
REF00000063,ORD00023726,CUST004984,2026-02-23,1938.74,Late Delivery,Bank Transfer,Approved,USD
REF00000064,ORD00002439,CUST004035,2026-01-02,1696.68,Late Delivery,Bank Transfer,Approved,USD
REF00000065,ORD00022910,CUST003774,2026-06-19,533.96,Product Not as Described,Store Credit,Approved,USD
REF00000066,ORD00026458,CUST000593,2026-04-04,3359.3,Duplicate Charge,Gift Card,Approved,USD
REF00000067,ORD00029370,CUST000832,2026-04-04,1677.69,Damaged Item,Store Credit,Approved,USD
REF00000068,ORD00026233,CUST004012,2023-09-23,1683.13,Damaged Item,Bank Transfer,Approved,USD
REF00000069,ORD00011897,CUST003836,2023-07-10,1051.63,Product Not as Described,Store Credit,Approved,USD
REF00000070,ORD00003869,CUST002986,2024-11-14,3140.64,Late Delivery,Bank Transfer,Approved,USD
REF00000071,ORD00021758,CUST001504,2025-06-30,1112.71,,Gift Card,Pending,USD
REF00000072,ORD00029335,CUST000278,2023-10-12,1393.92,Damaged Item,Gift Card,Approved,USD
REF00000073,ORD00003265,CUST002593,2025-08-15,1364.52,Wrong Product,Original Payment Method,Approved,USD
REF00000074,ORD00014396,CUST001634,2026-02-21,1052.63,Damaged Item,Bank Transfer,Approved,USD
REF00000075,ORD00029117,CUST003905,2025-07-22,430.85,Product Not as Described,Gift Card,Pending,USD
REF00000076,ORD00029836,CUST001831,2025-08-21,830.41,Quality Issue,Store Credit,Pending,USD
REF00000077,ORD00001128,CUST003098,2023-04-01,316.29,Wrong Product,Gift Card,Pending,USD
REF00000078,ORD00023082,CUST003706,2025-05-30,4556.91,Quality Issue,Gift Card,Approved,USD
REF00000079,ORD00002425,CUST003719,2023-11-22,3677.77,Wrong Product,Gift Card,Pending,USD
REF00000080,ORD00008850,CUST004896,2025-11-22,1114.94,Product Not as Described,Gift Card,Pending,USD
REF00000081,ORD00018486,CUST000112,2025-04-24,1719.82,Duplicate Charge,Original Payment Method,Approved,USD
REF00000082,ORD00014459,CUST003064,2023-09-15,1215.48,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000083,ORD00009464,CUST002271,2025-11-04,1339.65,Wrong Product,Original Payment Method,Approved,USD
REF00000084,ORD00026115,CUST000115,2025-04-17,716.14,Duplicate Charge,Original Payment Method,Pending,USD
REF00000085,ORD00026850,CUST001196,2024-02-02,1963.02,Product Not as Described,Gift Card,Approved,USD
REF00000086,ORD00002596,CUST001605,2026-04-24,489.78,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000087,ORD00018490,CUST001597,2025-09-22,4039.6,Damaged Item,Store Credit,Pending,USD
REF00000088,ORD00016673,CUST002090,2024-07-22,3.87,Damaged Item,Gift Card,Approved,USD
REF00000089,ORD00016211,CUST003260,2023-03-24,645.28,Missing Parts,Gift Card,Approved,USD
REF00000090,ORD00011213,CUST003336,2024-04-28,544.27,Product Not as Described,Bank Transfer,Approved,USD
REF00000091,ORD00018006,CUST000734,2024-06-22,82.17,Product Not as Described,Store Credit,Approved,USD
REF00000092,ORD00018766,CUST003973,2024-02-29,2054.59,Customer Changed Mind,Gift Card,Pending,USD
REF00000093,ORD00009984,CUST001118,2024-01-12,388.2,Duplicate Charge,Store Credit,Approved,USD
REF00000094,ORD00028764,CUST003717,2025-10-14,2224.68,Product Not as Described,Store Credit,Pending,USD
REF00000095,ORD00003343,CUST001592,2023-05-11,1207.5,Customer Changed Mind,Store Credit,Approved,USD
REF00000096,ORD00003094,CUST003089,2023-05-26,2509.9,Product Not as Described,Bank Transfer,Pending,USD
REF00000097,ORD00008700,CUST000538,2026-07-24,310.51,Wrong Product,Original Payment Method,Approved,USD
REF00000098,ORD00023798,CUST001593,2025-03-30,1882.76,Wrong Product,Bank Transfer,Approved,USD
REF00000099,ORD00007754,CUST003226,2024-12-15,668.43,Missing Parts,Original Payment Method,Approved,USD
REF00000100,ORD00013000,CUST003379,2025-05-31,4412.32,Wrong Product,Gift Card,Approved,USD
REF00000101,ORD00023422,CUST002900,2024-06-05,99.18,Missing Parts,Original Payment Method,Approved,USD
REF00000102,ORD00025295,CUST003547,2024-06-30,209.92,Customer Changed Mind,Gift Card,Approved,USD
REF00000103,ORD00023782,CUST001381,2025-09-20,919.5,Damaged Item,Bank Transfer,Approved,USD
REF00000104,ORD00024570,CUST001047,2024-11-04,271.38,Quality Issue,Bank Transfer,Approved,USD
REF00000105,ORD00024518,CUST000588,2024-12-08,242.58,Damaged Item,Store Credit,Approved,USD
REF00000106,ORD00011052,CUST003111,2023-01-27,385.69,Late Delivery,Original Payment Method,Rejected,USD
REF00000107,ORD00007809,CUST000941,2024-03-18,12.7,Customer Changed Mind,Gift Card,Approved,USD
REF00000108,ORD00009153,CUST003572,2023-08-29,186.99,Customer Changed Mind,Gift Card,Approved,USD
REF00000109,ORD00021152,CUST004764,2025-02-15,222.33,Damaged Item,Bank Transfer,Approved,USD
REF00000110,ORD00026617,CUST004591,2024-08-02,582.47,Late Delivery,Original Payment Method,Approved,USD
REF00000111,ORD00004835,CUST000743,2024-06-29,857.04,Product Not as Described,Gift Card,Approved,USD
REF00000112,ORD00011943,CUST001886,2025-07-30,815.09,Duplicate Charge,Gift Card,Approved,USD
REF00000113,ORD00012369,CUST001273,2025-01-02,1919.41,Wrong Product,Gift Card,Approved,USD
REF00000114,ORD00007737,CUST002243,2024-07-18,923.73,Missing Parts,Gift Card,Approved,USD
REF00000115,ORD00021345,CUST001876,2023-03-08,118.2,Duplicate Charge,Original Payment Method,Approved,USD
REF00000116,ORD00021300,CUST001947,2023-11-11,251.25,Quality Issue,Gift Card,Approved,USD
REF00000117,ORD00027930,CUST003604,2023-03-08,1211.21,Missing Parts,Store Credit,Pending,USD
REF00000118,ORD00027645,CUST002333,2023-04-28,1149.07,Duplicate Charge,Original Payment Method,Approved,USD
REF00000119,ORD00017617,CUST001664,2023-11-22,2079.06,Damaged Item,Original Payment Method,Approved,USD
REF00000120,ORD00020461,CUST004414,2025-10-24,16.54,Duplicate Charge,Store Credit,Approved,USD
REF00000121,ORD00013458,CUST002021,2025-02-22,314.57,Missing Parts,Gift Card,Approved,USD
REF00000122,ORD00027429,CUST004255,2025-01-27,703.75,Product Not as Described,Bank Transfer,Approved,USD
REF00000123,ORD00022752,CUST001897,2025-02-21,1226.59,Duplicate Charge,Gift Card,Approved,USD
REF00000124,ORD00016740,CUST004355,2023-01-24,1145.21,Quality Issue,Gift Card,Pending,USD
REF00000125,ORD00005218,CUST003824,2024-08-31,1405.39,Missing Parts,Original Payment Method,Approved,USD
REF00000126,ORD00017129,CUST001978,2025-04-11,3361.29,Duplicate Charge,Original Payment Method,Approved,USD
REF00000127,ORD00021730,CUST001778,2025-01-29,926.68,Quality Issue,Bank Transfer,Rejected,USD
REF00000128,ORD00008122,CUST001458,2023-08-22,88.95,Wrong Product,Bank Transfer,Approved,USD
REF00000129,ORD00012429,CUST001465,2024-11-02,158.57,Missing Parts,Bank Transfer,Pending,USD
REF00000130,ORD00000482,CUST003959,2025-04-12,1457.21,Damaged Item,Original Payment Method,Pending,USD
REF00000131,ORD00000714,CUST002852,2023-06-24,20.28,Damaged Item,Bank Transfer,Approved,USD
REF00000132,ORD00001111,CUST000212,2025-05-24,567.27,Customer Changed Mind,Gift Card,Approved,USD
REF00000133,ORD00000500,CUST004631,2023-03-10,1340.11,Product Not as Described,Bank Transfer,Pending,USD
REF00000134,ORD00017870,CUST004990,2024-12-31,35.04,Late Delivery,Gift Card,Approved,USD
REF00000135,ORD00012251,CUST001874,2025-08-13,43.51,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000136,ORD00016389,CUST002173,2023-04-08,1085.6,Product Not as Described,Store Credit,Rejected,USD
REF00000137,ORD00002241,CUST004384,2024-03-23,2407.9,Duplicate Charge,Original Payment Method,Approved,USD
REF00000138,ORD00027751,CUST004555,2023-03-08,3305.21,Customer Changed Mind,Gift Card,Approved,USD
REF00000139,ORD00007212,CUST002254,2024-10-19,906.88,Missing Parts,Gift Card,Approved,USD
REF00000140,ORD00012424,CUST001280,2024-03-18,828.25,Product Not as Described,Store Credit,Approved,USD
REF00000141,ORD00005058,CUST003299,2026-04-12,802.15,Wrong Product,Original Payment Method,Rejected,USD
REF00000142,ORD00009628,CUST001677,2024-09-02,6218.99,Late Delivery,Store Credit,Pending,USD
REF00000143,ORD00022330,CUST001718,2025-11-12,352.26,Customer Changed Mind,Store Credit,Approved,USD
REF00000144,ORD00029531,CUST004721,2026-04-21,213.41,Missing Parts,Original Payment Method,Approved,USD
REF00000145,ORD00002627,CUST001152,2024-02-16,683.42,Missing Parts,Gift Card,Pending,USD
REF00000146,ORD00019651,CUST001832,2024-09-15,1387.23,Missing Parts,Original Payment Method,Approved,USD
REF00000147,ORD00017058,CUST000962,2025-05-15,1005.6,Product Not as Described,Original Payment Method,Approved,USD
REF00000148,ORD00005406,CUST001944,2024-05-27,6808.52,Missing Parts,Store Credit,Approved,USD
REF00000149,ORD00007637,CUST002075,2023-03-06,1808.76,Damaged Item,Gift Card,Approved,USD
REF00000150,ORD00024555,CUST001546,2024-08-11,453.99,,Store Credit,Approved,USD
REF00000151,ORD00023471,CUST004352,2026-04-16,3723.48,Duplicate Charge,Store Credit,Pending,USD
REF00000152,ORD00019942,CUST000621,2024-02-25,177.68,Wrong Product,Gift Card,Approved,USD
REF00000153,ORD00002110,CUST003328,2024-08-02,2856.4,Quality Issue,Original Payment Method,Pending,USD
REF00000154,ORD00006579,CUST000741,2023-03-30,1838.14,Damaged Item,Original Payment Method,Approved,USD
REF00000155,ORD00020810,CUST002505,2025-10-01,847.21,Duplicate Charge,Gift Card,Approved,USD
REF00000156,ORD00018745,CUST004238,2024-12-22,284.9,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000157,ORD00014946,CUST001135,2026-06-11,802.68,Duplicate Charge,Original Payment Method,Approved,USD
REF00000158,ORD00017972,CUST004651,2024-07-07,222.97,Late Delivery,Gift Card,Approved,USD
REF00000159,ORD00010636,CUST003482,2026-05-22,520.47,Late Delivery,Bank Transfer,Approved,USD
REF00000160,ORD00028140,CUST002965,2023-01-28,1222.23,Customer Changed Mind,Store Credit,Approved,USD
REF00000161,ORD00015462,CUST000577,2026-02-17,436.54,Product Not as Described,Bank Transfer,Approved,USD
REF00000162,ORD00026330,CUST004674,2023-01-28,1833.19,Damaged Item,Original Payment Method,Pending,USD
REF00000163,ORD00020994,CUST003190,2025-09-17,1119.13,Product Not as Described,Gift Card,Approved,USD
REF00000164,ORD00025033,CUST000956,2023-08-25,570.72,Duplicate Charge,Store Credit,Approved,USD
REF00000165,ORD00000874,CUST003090,2025-12-07,1033.15,Damaged Item,Gift Card,Approved,USD
REF00000166,ORD00028842,CUST001079,2023-08-10,2099.47,Wrong Product,Store Credit,Approved,USD
REF00000167,ORD00019265,CUST002211,2025-06-14,579.84,Missing Parts,Original Payment Method,Approved,USD
REF00000168,ORD00007781,CUST003384,2023-11-15,992.92,Quality Issue,Original Payment Method,Approved,USD
REF00000169,ORD00005448,CUST003215,2025-03-05,124.86,Duplicate Charge,Original Payment Method,Approved,USD
REF00000170,ORD00001740,CUST001530,2023-04-20,2428.83,Duplicate Charge,Bank Transfer,Approved,USD
REF00000171,ORD00005413,CUST002756,2024-03-17,205.35,Product Not as Described,Store Credit,Approved,USD
REF00000172,ORD00004439,CUST001575,2024-01-12,1393.08,Quality Issue,Store Credit,Approved,USD
REF00000173,ORD00000517,CUST004385,2023-09-14,1484.46,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000174,ORD00011823,CUST002239,2025-05-17,1288.37,Damaged Item,Store Credit,Approved,USD
REF00000175,ORD00001513,CUST000630,2024-08-09,821.32,Damaged Item,Original Payment Method,Approved,USD
REF00000176,ORD00001139,CUST002528,2024-08-03,859.85,Customer Changed Mind,Original Payment Method,Rejected,USD
REF00000177,ORD00017093,CUST000354,2023-08-28,916.82,Product Not as Described,Store Credit,Approved,USD
REF00000178,ORD00023297,CUST001410,2023-03-20,3365.63,Missing Parts,Original Payment Method,Approved,USD
REF00000179,ORD00024402,CUST001189,2023-08-21,883.72,Damaged Item,Store Credit,Approved,USD
REF00000180,ORD00025777,CUST002228,2023-09-27,1136.12,Customer Changed Mind,Gift Card,Approved,USD
REF00000181,ORD00024998,CUST004192,2025-07-24,343.42,Duplicate Charge,Gift Card,Approved,USD
REF00000182,ORD00007937,CUST001509,2024-12-02,678.58,Duplicate Charge,Bank Transfer,Approved,USD
REF00000183,ORD00018979,CUST003056,2024-08-25,279.28,Duplicate Charge,Original Payment Method,Approved,USD
REF00000184,ORD00025457,CUST004329,2024-11-11,4112.22,Missing Parts,Store Credit,Approved,USD
REF00000185,ORD00026669,CUST002728,2023-05-31,788.22,Damaged Item,Store Credit,Approved,USD
REF00000186,ORD00021150,CUST001120,2025-06-04,697.73,Quality Issue,Original Payment Method,Approved,USD
REF00000187,ORD00028815,CUST002324,2025-01-13,2160.58,Quality Issue,Gift Card,Rejected,USD
REF00000188,ORD00003284,CUST003653,2026-07-24,1592.87,Quality Issue,Bank Transfer,Pending,USD
REF00000189,ORD00024630,CUST002883,2025-12-07,1665.88,Missing Parts,Bank Transfer,Approved,USD
REF00000190,ORD00024980,CUST002076,2026-05-08,568.8,Damaged Item,Gift Card,Approved,USD
REF00000191,ORD00019021,CUST002343,2023-09-10,4129.43,Damaged Item,Bank Transfer,Approved,USD
REF00000192,ORD00022130,CUST002929,2023-12-02,84.48,Duplicate Charge,Original Payment Method,Approved,USD
REF00000193,ORD00016214,CUST001965,2023-10-15,1212.83,Damaged Item,Gift Card,Approved,USD
REF00000194,ORD00024554,CUST003257,2025-07-16,211.82,Damaged Item,Bank Transfer,Approved,USD
REF00000195,ORD00023185,CUST003183,2026-08-12,3128.15,Missing Parts,Gift Card,Approved,USD
REF00000196,ORD00022271,CUST002797,2024-07-07,266.72,Missing Parts,Bank Transfer,Approved,USD
REF00000197,ORD00020913,CUST000890,2025-01-25,53.98,,Bank Transfer,Rejected,USD
REF00000198,ORD00018695,CUST000247,2023-03-10,1809.76,Damaged Item,Original Payment Method,Pending,USD
REF00000199,ORD00013785,CUST000472,2024-10-21,1414.28,Missing Parts,Original Payment Method,Approved,USD
REF00000200,ORD00002678,CUST003763,2025-07-24,2001.62,Late Delivery,Original Payment Method,Pending,USD
REF00000201,ORD00024389,CUST002753,2025-06-30,693.53,Wrong Product,Bank Transfer,Approved,USD
REF00000202,ORD00009849,CUST004181,2023-02-11,704.57,Product Not as Described,Bank Transfer,Approved,USD
REF00000203,ORD00027320,CUST002168,2023-12-16,398.18,Missing Parts,Gift Card,Approved,USD
REF00000204,ORD00014007,CUST004350,2024-12-16,1133.36,Duplicate Charge,Store Credit,Approved,USD
REF00000205,ORD00010843,CUST002704,2023-06-29,1363.89,Damaged Item,Gift Card,Pending,USD
REF00000206,ORD00027827,CUST000850,2025-10-21,277.63,,Gift Card,Approved,USD
REF00000207,ORD00012025,CUST002857,2024-12-15,857.64,Missing Parts,Original Payment Method,Approved,USD
REF00000208,ORD00025265,CUST004919,2026-05-26,378.07,Wrong Product,Store Credit,Approved,USD
REF00000209,ORD00022817,CUST001794,2026-07-29,138.63,Product Not as Described,Gift Card,Approved,USD
REF00000210,ORD00026258,CUST001847,2024-12-02,2055.15,Duplicate Charge,Gift Card,Approved,USD
REF00000211,ORD00028618,CUST002501,2026-10-04,899.34,Damaged Item,Original Payment Method,Pending,USD
REF00000212,ORD00024584,CUST002284,2023-08-15,199.97,,Gift Card,Approved,USD
REF00000213,ORD00005060,CUST004239,2025-03-30,3306.29,Late Delivery,Store Credit,Approved,USD
REF00000214,ORD00003261,CUST001483,2024-02-25,811.98,Damaged Item,Original Payment Method,Approved,USD
REF00000215,ORD00013789,CUST003259,2023-11-09,666.08,Late Delivery,Gift Card,Approved,USD
REF00000216,ORD00020479,CUST001919,2026-04-21,3302.99,Damaged Item,Bank Transfer,Pending,USD
REF00000217,ORD00000428,CUST004623,2024-11-08,1056.02,Late Delivery,Bank Transfer,Rejected,USD
REF00000218,ORD00024474,CUST003427,2023-07-06,324.94,Customer Changed Mind,Gift Card,Pending,USD
REF00000219,ORD00025739,CUST002551,2025-01-23,34.22,Quality Issue,Original Payment Method,Rejected,USD
REF00000220,ORD00027916,CUST000041,2023-01-16,1182.29,Wrong Product,Original Payment Method,Approved,USD
REF00000221,ORD00022338,CUST001424,2023-11-20,282.82,Damaged Item,Store Credit,Approved,USD
REF00000222,ORD00016542,CUST001729,2023-06-01,47.58,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000223,ORD00023310,CUST001564,2025-12-27,830.17,Customer Changed Mind,Gift Card,Approved,USD
REF00000224,ORD00009124,CUST001498,2026-05-11,1622.73,Quality Issue,Original Payment Method,Pending,USD
REF00000225,ORD00026937,CUST004026,2024-06-16,47.96,Damaged Item,Bank Transfer,Pending,USD
REF00000226,ORD00006756,CUST000727,2024-07-18,1208.25,Missing Parts,Original Payment Method,Approved,USD
REF00000227,ORD00009365,CUST001036,2025-09-23,2312.85,Duplicate Charge,Store Credit,Approved,USD
REF00000228,ORD00016550,CUST004250,2023-10-19,4530.88,Quality Issue,Gift Card,Approved,USD
REF00000229,ORD00028144,CUST002447,2023-12-19,3740.23,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000230,ORD00011241,CUST002872,2025-05-13,216.47,Missing Parts,Original Payment Method,Pending,USD
REF00000231,ORD00024171,CUST004128,2023-11-17,2717.33,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000232,ORD00001919,CUST000129,2023-12-12,363.44,Late Delivery,Bank Transfer,Approved,USD
REF00000233,ORD00001180,CUST000067,2024-07-04,391.63,Wrong Product,Gift Card,Pending,USD
REF00000234,ORD00002814,CUST000021,2025-03-25,140.22,Late Delivery,Original Payment Method,Approved,USD
REF00000235,ORD00025749,CUST000032,2024-03-26,926.56,Late Delivery,Original Payment Method,Approved,USD
REF00000236,ORD00018781,CUST003940,2023-09-03,2690.52,Late Delivery,Gift Card,Approved,USD
REF00000237,ORD00004608,CUST002408,2026-01-19,566.33,Quality Issue,Bank Transfer,Approved,USD
REF00000238,ORD00018517,CUST004367,2024-11-03,4093.14,Missing Parts,Original Payment Method,Approved,USD
REF00000239,ORD00017046,CUST000285,2026-07-12,867.2,Product Not as Described,Store Credit,Pending,USD
REF00000240,ORD00002240,CUST000455,2024-02-28,2413.1,Product Not as Described,Gift Card,Approved,USD
REF00000241,ORD00016383,CUST003105,2025-05-07,818.67,Quality Issue,Original Payment Method,Approved,USD
REF00000242,ORD00003177,CUST002661,2023-05-16,1093.16,Damaged Item,Original Payment Method,Approved,USD
REF00000243,ORD00003389,CUST001659,2025-10-17,120.88,Quality Issue,Bank Transfer,Approved,USD
REF00000244,ORD00025750,CUST004931,2025-02-10,678.14,Damaged Item,Store Credit,Rejected,USD
REF00000245,ORD00010365,CUST000221,2026-06-05,147.13,Product Not as Described,Bank Transfer,Approved,USD
REF00000246,ORD00022955,CUST003048,2025-11-02,1696.0,Missing Parts,Original Payment Method,Approved,USD
REF00000247,ORD00007129,CUST004596,2024-03-02,56.25,Duplicate Charge,Gift Card,Rejected,USD
REF00000248,ORD00000395,CUST000496,2024-05-28,2905.99,Damaged Item,Gift Card,Pending,USD
REF00000249,ORD00007593,CUST000740,2025-07-23,477.24,Damaged Item,Store Credit,Approved,USD
REF00000250,ORD00002176,CUST004900,2023-05-15,471.31,Duplicate Charge,Original Payment Method,Approved,USD
REF00000251,ORD00029755,CUST001993,2025-06-30,786.2,Late Delivery,Original Payment Method,Approved,USD
REF00000252,ORD00008229,CUST001952,2024-06-27,3003.24,Duplicate Charge,Store Credit,Approved,USD
REF00000253,ORD00009113,CUST003621,2024-07-03,345.45,Quality Issue,Gift Card,Approved,USD
REF00000254,ORD00005877,CUST004164,2024-07-24,2264.64,Duplicate Charge,Original Payment Method,Approved,USD
REF00000255,ORD00001648,CUST004249,2024-07-08,410.62,Product Not as Described,Original Payment Method,Pending,USD
REF00000256,ORD00002811,CUST003068,2023-02-23,1131.29,Damaged Item,Original Payment Method,Approved,USD
REF00000257,ORD00017431,CUST003247,2023-12-27,1025.39,Product Not as Described,Bank Transfer,Approved,USD
REF00000258,ORD00017832,CUST001995,2023-01-22,1016.91,Missing Parts,Bank Transfer,Pending,USD
REF00000259,ORD00020615,CUST004755,2026-06-08,681.22,Customer Changed Mind,Store Credit,Approved,USD
REF00000260,ORD00016064,CUST001425,2024-07-06,1925.37,Missing Parts,Original Payment Method,Approved,USD
REF00000261,ORD00012238,CUST000386,2024-05-02,936.67,Missing Parts,Bank Transfer,Approved,USD
REF00000262,ORD00020316,CUST000709,2025-10-27,65.96,Customer Changed Mind,Original Payment Method,Rejected,USD
REF00000263,ORD00010942,CUST001392,2025-11-10,2067.19,Customer Changed Mind,Gift Card,Approved,USD
REF00000264,ORD00007059,CUST002715,2024-02-21,3826.57,Late Delivery,Store Credit,Approved,USD
REF00000265,ORD00020350,CUST003252,2025-03-09,480.14,Missing Parts,Original Payment Method,Approved,USD
REF00000266,ORD00019634,CUST003678,2026-04-17,398.12,Missing Parts,Bank Transfer,Rejected,USD
